taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
65128,Paramecium_sexaurelia,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Oligohymenophorea,o__Peniculida,f__Parameciidae,g__Paramecium,s__Paramecium_sexaurelia
2056407,Halamphora_sp_MG8b,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Naviculales,f__Amphipleuraceae,g__Halamphora,s__Halamphora_sp_MG8b
5858,Plasmodium_malariae,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_malariae
4803,Lagenidium_giganteum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Lagenidiales__O+,o__Lagenidiales,f__Lagenidiaceae,g__Lagenidium,s__Lagenidium_giganteum
68886,Theileria_orientalis,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Piroplasmida,f__Theileriidae,g__Theileria,s__Theileria_orientalis
112097,Pythium_aquatile,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Pythium,s__Pythium_aquatile
49266,Fucus_vesiculosus,d__Eukaryota,k__Phaeophyceae__C+,p__Phaeophyceae__C+,c__Phaeophyceae,o__Fucales,f__Fucaceae,g__Fucus,s__Fucus_vesiculosus
82951,Pythium_vanterpoolii,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Pythium,s__Pythium_vanterpoolii
5936,Moneuplotes_crassus,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Spirotrichea,o__Euplotida,f__Euplotidae,g__Moneuplotes,s__Moneuplotes_crassus
289622,Globisporangium_parvum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_parvum
2562237,Cladocopium_goreaui,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Cladocopium,s__Cladocopium_goreaui
1410327,Acytostelium_subglobosum_LB1,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Acytosteliales,f__Acytosteliaceae,g__Acytostelium,s__Acytostelium_subglobosum
294381,Entamoeba_histolytica_HM_1_IMSS,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Mastigamoebida__O+,o__Mastigamoebida,f__Entamoebidae,g__Entamoeba,s__Entamoeba_histolytica
5755,Acanthamoeba_castellanii,d__Eukaryota,k__Discosea__P+,p__Discosea,c__Longamoebia__O+,o__Longamoebia,f__Acanthamoebidae,g__Acanthamoeba,s__Acanthamoeba_castellanii
1148489,Theileria_parva_parva,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Piroplasmida,f__Theileriidae,g__Theileria,s__Theileria_parva
611791,Phytophthora_palmivora_var_palmivora,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_palmivora
763924,Phytophthora_capsici_LT1534,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_capsici
4786,Phytophthora_cryptogea,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_cryptogea
265525,Chaetoceros_muellerii,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Coscinodiscophyceae,o__Chaetocerotales,f__Chaetocerotaceae,g__Chaetoceros,s__Chaetoceros_muellerii
483139,Cystoisospora_suis,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Cystoisospora,s__Cystoisospora_suis
1245018,Plasmodium_falciparum_365_1,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
325452,Phytophthora_kernoviae,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_kernoviae
1169474,Chromera_velia_CCMP2878,d__Eukaryota,k__Chromeraceae__F+,p__Chromeraceae__F+,c__Chromeraceae__F+,o__Chromeraceae__F+,f__Chromeraceae,g__Chromera,s__Chromera_velia
297518,Licmophora_abbreviata,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Fragilariophyceae,o__Licmophorales,f__Licmophoraceae,g__Licmophora,s__Licmophora_abbreviata
943122,Toxoplasma_gondii_CAST,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Toxoplasma,s__Toxoplasma_gondii
51315,Eimeria_necatrix,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Eimeriidae,g__Eimeria,s__Eimeria_necatrix
361069,Dictyostelium_brefeldianum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Dictyosteliaceae,g__Dictyostelium,s__Dictyostelium_brefeldianum
882403,Dictyostelium_gargantuum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Dictyosteliaceae,g__Dictyostelium,s__Dictyostelium_gargantuum
657220,Pythium_emineosum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Pythium,s__Pythium_emineosum
1486917,Craspedostauros_australis,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Naviculales,f__Naviculaceae,g__Craspedostauros,s__Craspedostauros_australis
289613,Pythium_folliculosum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Pythium,s__Pythium_folliculosum
1196443,Plasmopara_muralis,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Plasmopara,s__Plasmopara_muralis
1317063,Phytophthora_parasitica_CJ01A1,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_parasitica
5762,Naegleria_gruberi,d__Eukaryota,k__Heterolobosea__P+,p__Heterolobosea,c__Vahlkampfiidae__F+,o__Vahlkampfiidae__F+,f__Vahlkampfiidae,g__Naegleria,s__Naegleria_gruberi
96789,Chromulina_nebulosa,d__Eukaryota,k__Chrysophyceae__C+,p__Chrysophyceae__C+,c__Chrysophyceae,o__Chromulinales,f__Chromulinaceae,g__Chromulina,s__Chromulina_nebulosa
5888,Paramecium_tetraurelia,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Oligohymenophorea,o__Peniculida,f__Parameciidae,g__Paramecium,s__Paramecium_tetraurelia
166956,Neovahlkampfia_damariscottae,d__Eukaryota,k__Heterolobosea__P+,p__Heterolobosea,c__Neovahlkampfiidae__F+,o__Neovahlkampfiidae__F+,f__Neovahlkampfiidae,g__Neovahlkampfia,s__Neovahlkampfia_damariscottae
1792277,Pythium_yorkensis,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Pythium,s__Pythium_yorkensis
1144522,Tritrichomonas_foetus,d__Eukaryota,k__Parabasalia__P+,p__Parabasalia,c__Tritrichomonadida__O+,o__Tritrichomonadida,f__Tritrichomonadidae,g__Tritrichomonas,s__Tritrichomonas_foetus
1615773,Laurentiella_sp_PUJRC_G5,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Spirotrichea,o__Sporadotrichida,f__Oxytrichidae,g__Laurentiella,s__Laurentiella_sp_PUJRC_G5
143451,Plasmopara_viticola,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Plasmopara,s__Plasmopara_viticola
42384,Hyphochytrium_catenoides,d__Eukaryota,k__Hyphochytriomycetes__C+,p__Hyphochytriomycetes__C+,c__Hyphochytriomycetes,o__Hyphochytriaceae__F+,f__Hyphochytriaceae,g__Hyphochytrium,s__Hyphochytrium_catenoides
2736650,Thraustochytrium_sp_TN22,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Thraustochytrida,f__Thraustochytriaceae,g__Thraustochytrium,s__Thraustochytrium_sp_TN22
306026,Dictyostelium_rosarium,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Dictyosteliaceae,g__Dictyostelium,s__Dictyostelium_rosarium
361076,Dictyostelium_intermedium,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Dictyosteliaceae,g__Dictyostelium,s__Dictyostelium_intermedium
461836,Thecamonas_trahens_ATCC_50062,d__Eukaryota,k__Apusomonadidae__F+,p__Apusomonadidae__F+,c__Apusomonadidae__F+,o__Apusomonadidae__F+,f__Apusomonadidae,g__Thecamonas,s__Thecamonas_trahens
519425,Poterioochromonas_sp_DS,d__Eukaryota,k__Synurophyceae__C+,p__Synurophyceae__C+,c__Synurophyceae,o__Ochromonadales,f__Ochromonadaceae,g__Poterioochromonas,s__Poterioochromonas_sp_DS
1690101,Phytophthora_taxon_totara,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_taxon_totara
312017,Tetrahymena_thermophila_SB210,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Oligohymenophorea,o__Hymenostomatida,f__Tetrahymenidae,g__Tetrahymena,s__Tetrahymena_thermophila
444509,uncultured_Blastocystis_sp,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Opalinata,f__Blastocystidae,g__Blastocystis,s__uncultured_Blastocystis_sp
65357,Albugo_candida,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Albuginales__O+,o__Albuginales,f__Albuginaceae,g__Albugo,s__Albugo_candida
56777,Trichomonas_gallinae,d__Eukaryota,k__Parabasalia__P+,p__Parabasalia,c__Trichomonadida__O+,o__Trichomonadida,f__Trichomonadidae,g__Trichomonas,s__Trichomonas_gallinae
358019,Enoploplastron_triloricatum,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Litostomatea,o__Entodiniomorphida,f__Ophryoscolecidae,g__Enoploplastron,s__Enoploplastron_triloricatum
43075,Trichomonas_tenax,d__Eukaryota,k__Parabasalia__P+,p__Parabasalia,c__Trichomonadida__O+,o__Trichomonadida,f__Trichomonadidae,g__Trichomonas,s__Trichomonas_tenax
1003336,Strigomonas_galati,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Trypanosomatida,f__Trypanosomatidae,g__Strigomonas,s__Strigomonas_galati
1323249,Plasmodium_yoelii_17X,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_yoelii
361096,Speleostelium_caveatum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Raperosteliaceae,g__Speleostelium,s__Speleostelium_caveatum
5886,Paramecium_primaurelia,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Oligohymenophorea,o__Peniculida,f__Parameciidae,g__Paramecium,s__Paramecium_primaurelia
2809013,Epithemia_sp_CRS_2021b,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Rhopalodiales,f__Rhopalodiaceae,g__Epithemia,s__Epithemia_sp_CRS_2021b
162120,Pseudoperonospora_humuli,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Pseudoperonospora,s__Pseudoperonospora_humuli
1284355,Phytophthora_kernoviae_00238_432,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_kernoviae
2125995,Globisporangium_paroecandrum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_paroecandrum
1259849,Nannochloropsis_granulata_CCMP529,d__Eukaryota,k__Eustigmatophyceae__C+,p__Eustigmatophyceae__C+,c__Eustigmatophyceae,o__Eustigmatales,f__Monodopsidaceae,g__Nannochloropsis,s__Nannochloropsis_granulata
5974,Halteria_grandinella,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Spirotrichea,o__Sporadotrichida,f__Halteriidae,g__Halteria,s__Halteria_grandinella
1130820,Toxoplasma_gondii_GAB2_2007_GAL_DOM2,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Toxoplasma,s__Toxoplasma_gondii
142831,Coremiostelium_polycephalum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Coremiostelium__G+,g__Coremiostelium,s__Coremiostelium_polycephalum
1245014,Plasmodium_falciparum_309_1,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
94643,Besnoitia_besnoiti,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Besnoitia,s__Besnoitia_besnoiti
5893,Tetrahymena_borealis,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Oligohymenophorea,o__Hymenostomatida,f__Tetrahymenidae,g__Tetrahymena,s__Tetrahymena_borealis
1237626,Plasmodium_inui_San_Antonio_1,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_inui
1775427,Amoebophrya_sp_AT5_2,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Syndiniales,f__Amoebophryaceae,g__Amoebophrya,s__Amoebophrya_sp_AT5_2
32600,Acanthamoeba_royreba,d__Eukaryota,k__Discosea__P+,p__Discosea,c__Longamoebia__O+,o__Longamoebia,f__Acanthamoebidae,g__Acanthamoeba,s__Acanthamoeba_royreba
1008807,Acrasis_kona,d__Eukaryota,k__Heterolobosea__P+,p__Heterolobosea,c__Acrasidae__F+,o__Acrasidae__F+,f__Acrasidae,g__Acrasis,s__Acrasis_kona
74557,Thraustotheca_clavata,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Saprolegniales__O+,o__Saprolegniales,f__Saprolegniaceae,g__Thraustotheca,s__Thraustotheca_clavata
1544353,Blastocystis_sp_subtype_9,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Opalinata,f__Blastocystidae,g__Blastocystis,s__Blastocystis_sp_subtype_9
361077,Tieghemostelium_lacteum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Raperosteliaceae,g__Tieghemostelium,s__Tieghemostelium_lacteum
1735747,Stramenopiles_sp_TOSAG23_6,d__Eukaryota,k__Stramenopiles_sp_TOSAG23_6__S+,p__Stramenopiles_sp_TOSAG23_6__S+,c__Stramenopiles_sp_TOSAG23_6__S+,o__Stramenopiles_sp_TOSAG23_6__S+,f__Stramenopiles_sp_TOSAG23_6__S+,g__Stramenopiles_sp_TOSAG23_6__S+,s__Stramenopiles_sp_TOSAG23_6
2728823,Parietichytrium_sp_I65_24A,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Thraustochytrida,f__Thraustochytriaceae,g__Parietichytrium,s__Parietichytrium_sp_I65_24A
478820,Blastocystis_sp_ATCC_50177_Nand_II,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Opalinata,f__Blastocystidae,g__Blastocystis,s__Blastocystis_sp_subtype_1
907947,Phytopythium_vexans,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Phytopythium,s__Phytopythium_vexans
432359,Toxoplasma_gondii_VEG,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Toxoplasma,s__Toxoplasma_gondii
2826164,Euplotes_cf_woodruffi_2_WChen_2021,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Spirotrichea,o__Euplotida,f__Euplotidae,g__Euplotes,s__Euplotes_cf_woodruffi_2_WChen_2021
2052605,Eimeria_sp_OTU_Z,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Eimeriidae,g__Eimeria,s__Eimeria_sp_OTU_Z
33653,Cafeteria_roenbergensis,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Bicosoecida,f__Cafeteriaceae,g__Cafeteria,s__Cafeteria_roenbergensis
2880,Ectocarpus_siliculosus,d__Eukaryota,k__Phaeophyceae__C+,p__Phaeophyceae__C+,c__Phaeophyceae,o__Ectocarpales,f__Ectocarpaceae,g__Ectocarpus,s__Ectocarpus_siliculosus
885318,Entamoeba_histolytica_HM_1_IMSS_A,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Mastigamoebida__O+,o__Mastigamoebida,f__Entamoebidae,g__Entamoeba,s__Entamoeba_histolytica
5666,Leishmania_tropica,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Trypanosomatida,f__Trypanosomatidae,g__Leishmania,s__Leishmania_tropica
635003,Fragilariopsis_cylindrus_CCMP1102,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Fragilariopsis,s__Fragilariopsis_cylindrus
2041349,Nitzschia_sp_Nitz4,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Nitzschia,s__Nitzschia_sp_Nitz4
2600580,Hepatocystis_sp_ex_Piliocolobus_tephrosceles,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Hepatocystis,s__Hepatocystis_sp_ex_Piliocolobus_tephrosceles
1314962,Perkinsela_sp_CCAP_1560_4,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Ichthyobodonidae__F+,f__Ichthyobodonidae,g__Perkinsela,s__Perkinsela_sp_CCAP_1560_4
192020,Globisporangium_carolinianum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_carolinianum
2029566,Trypanosomatidae_sp_JR_2017b,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Kinetoplastea,o__Trypanosomatida,f__Trypanosomatidae,g__Trypanosomatidae_sp_JR_2017b__S+,s__Trypanosomatidae_sp_JR_2017b
1489740,Globisporangium_solare,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_solare
118010,Rhabdomonas_costata,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Euglenida,o__Rhabdomonadales,f__Astasiidae,g__Rhabdomonas,s__Rhabdomonas_costata
89957,Polarella_glacialis,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Suessiales,f__Suessiaceae,g__Polarella,s__Polarella_glacialis
601995,Entodinium_longinucleatum,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Litostomatea,o__Entodiniomorphida,f__Ophryoscolecidae,g__Entodinium,s__Entodinium_longinucleatum
5826,Plasmodium_chabaudi_adami,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_chabaudi
4792,Phytophthora_parasitica,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_parasitica
195482,Cryptosporidium_canis,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Cryptosporidiidae,g__Cryptosporidium,s__Cryptosporidium_canis
1519616,Symbiodinium_sp_CCMP2456,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Symbiodinium,s__Symbiodinium_sp_CCMP2456
361140,Rostrostelium_ellipticum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Acytosteliales,f__Acytosteliaceae,g__Rostrostelium,s__Rostrostelium_ellipticum
1027359,Nannochloropsis_oceanica_OZ_1,d__Eukaryota,k__Eustigmatophyceae__C+,p__Eustigmatophyceae__C+,c__Eustigmatophyceae,o__Eustigmatales,f__Monodopsidaceae,g__Nannochloropsis,s__Nannochloropsis_oceanica
29204,Cyclotella_cryptica,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Coscinodiscophyceae,o__Thalassiosirales,f__Stephanodiscaceae,g__Cyclotella,s__Cyclotella_cryptica
1746091,Anaeramoeba_flamelloides,d__Eukaryota,k__Anaeramoeba__G+,p__Anaeramoeba__G+,c__Anaeramoeba__G+,o__Anaeramoeba__G+,f__Anaeramoeba__G+,g__Anaeramoeba,s__Anaeramoeba_flamelloides
2996,Hydrurus_foetidus,d__Eukaryota,k__Chrysophyceae__C+,p__Chrysophyceae__C+,c__Chrysophyceae,o__Hydrurales,f__Hydruraceae,g__Hydrurus,s__Hydrurus_foetidus
210441,Asterionella_formosa,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Fragilariophyceae,o__Fragilariales,f__Fragilariaceae,g__Asterionella,s__Asterionella_formosa
1394984,Giardia_intestinalis_assemblage_B,d__Eukaryota,k__Fornicata__P+,p__Fornicata,c__Diplomonadida__O+,o__Diplomonadida,f__Hexamitidae,g__Giardia,s__Giardia_intestinalis
303405,Nitzschia_inconspicua,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Nitzschia,s__Nitzschia_inconspicua
2109649,Fragilaria_radians,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Fragilariophyceae,o__Fragilariales,f__Fragilariaceae,g__Fragilaria,s__Fragilaria_radians
51641,Willaertia_magna,d__Eukaryota,k__Heterolobosea__P+,p__Heterolobosea,c__Vahlkampfiidae__F+,o__Vahlkampfiidae__F+,f__Vahlkampfiidae,g__Willaertia,s__Willaertia_magna
2057163,Haplosporidium_pinnae,d__Eukaryota,k__Endomyxa__P+,p__Endomyxa,c__Ascetosporea,o__Haplosporida,f__Haplosporidiidae,g__Haplosporidium,s__Haplosporidium_pinnae
1117031,Spumella_vulgaris,d__Eukaryota,k__Chrysophyceae__C+,p__Chrysophyceae__C+,c__Chrysophyceae,o__Chromulinales,f__Chromulinaceae,g__Spumella,s__Spumella_vulgaris
880535,Plasmodium_sp_gorilla_clade_G2,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_sp_gorilla_clade_G2
112090,Aphanomyces_astaci,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Saprolegniales__O+,o__Saprolegniales,f__Saprolegniaceae,g__Aphanomyces,s__Aphanomyces_astaci
