"Level","Source","Spacer_count","T_self","T_virus","T_others","T_self_r","T_virus_r","T_others_r","genome_count"
"Species","s__Methanofollis aquaemaris",1,0,1,0,0,1,0,1
"Species","s__Methanofollis ethanolicus",9,0,7,2,0,0.7778,0.2222,1
"Species","s__Methanofollis liminatans",1,0,0,1,0,0,1,1
"Species","s__Methanofollis sp. W23",7,7,0,0,1,0,0,1
"Species","s__Methanofollis tationis",2,0,1,1,0,0.5,0.5,1
"Species","s__Methanogenium sp. MK-MG",1,1,0,0,1,0,0,1
"Species","s__Methanohalophilus sp. 2-GBenrich",21,0,20,1,0,0.9524,0.0476,1
"Species","s__Methanohalophilus sp. DAL1",12,1,9,2,0.0833,0.75,0.1667,1
"Species","s__Methanohalophilus sp. T328-1",5,0,3,2,0,0.6,0.4,1
"Species","s__Methanohalophilus sp. WG1-DM",14,0,13,1,0,0.9286,0.0714,1
"Species","s__Methanolacinia paynteri",2,0,0,2,0,0,1,1
"Species","s__Methanolinea sp. UBA155",4,0,3,1,0,0.75,0.25,1
"Species","s__Methanolinea sp. UBA245",2,0,1,1,0,0.5,0.5,1
"Species","s__Methanolinea sp. UBA275",2,0,1,1,0,0.5,0.5,1
"Species","s__Methanolinea sp. UBA437",2,0,1,1,0,0.5,0.5,1
"Species","s__Methanolinea sp. UBA451",1,0,0,1,0,0,1,1
"Species","s__Methanolobus bombayensis",2,0,2,0,0,1,0,1
"Species","s__Methanolobus sp. T82-4",1,0,1,0,0,1,0,1
"Species","s__Methanolobus vulcani",1,0,0,1,0,0,1,1
"Species","s__Methanolobus zinderi",8,0,8,0,0,1,0,1
"Species","s__Methanomassiliicoccaceae archaeon DOK",1,0,0,1,0,0,1,1
"Species","s__Methanomassiliicoccaceae archaeon UBA296",3,0,0,3,0,0,1,1
"Species","s__Methanomassiliicoccaceae archaeon UBA328",1,0,0,1,0,0,1,1
"Species","s__Methanomassiliicoccaceae archaeon UBA344",7,0,5,2,0,0.7143,0.2857,1
"Species","s__Methanomassiliicoccaceae archaeon UBA366",3,0,2,1,0,0.6667,0.3333,1
"Species","s__Methanomassiliicoccaceae archaeon UBA371",3,0,0,3,0,0,1,1
"Species","s__Methanomassiliicoccaceae archaeon UBA408",1,0,1,0,0,1,0,1
"Species","s__Methanomassiliicoccaceae archaeon UBA593",1,1,0,0,1,0,0,1
"Species","s__Methanomassiliicoccaceae archaeon UBA75",2,0,0,2,0,0,1,1
"Species","s__Methanomassiliicoccales archaeon",144,17,115,12,0.1181,0.7986,0.0833,1
"Species","s__Methanomassiliicoccus sp. UBA393",3,0,0,3,0,0,1,1
"Species","s__Methanomassiliicoccus sp. UBA429",4,0,0,4,0,0,1,1
"Species","s__Methanomethylovorans sp. PtaU1.Bin093",1,0,1,0,0,1,0,1
"Species","s__Methanomicrobia archaeon LH_S14",5,0,0,5,0,0,1,1
"Species","s__Methanomicrobia archaeon LH_S43",1,0,0,1,0,0,1,1
"Species","s__Methanomicrobiales archaeon 53_19",27,0,25,2,0,0.9259,0.0741,1
"Species","s__Methanomicrobiales archaeon HGW-Methanomicrobiales-3",3,0,3,0,0,1,0,1
"Species","s__Methanomicrobiales archaeon HGW-Methanomicrobiales-6",23,0,20,3,0,0.8696,0.1304,1
"Species","s__Methanomicrobiales archaeon Methan_05",5,0,5,0,0,1,0,1
"Species","s__Methanomicrobiales archaeon Methan_06",1,0,0,1,0,0,1,1
"Species","s__Methanomicrobiales archaeon Methan_07",7,0,6,1,0,0.8571,0.1429,1
"Species","s__Methanonatronarchaeia archaeon",1,0,0,1,0,0,1,1
"Species","s__Methanonatronarchaeum sp. AMET6-2",2,0,0,2,0,0,1,1
"Species","s__Methanoregula sp. PtaU1.Bin051",1,0,1,0,0,1,0,1
"Species","s__Methanoregulaceae archaeon",1,0,1,0,0,1,0,1
"Species","s__Methanoregulaceae archaeon UXB-2016",1,1,0,0,1,0,0,1
"Species","s__Methanosaeta sp. PtaB.Bin018",6,0,5,1,0,0.8333,0.1667,1
"Species","s__Methanosaeta sp. PtaB.Bin087",1,0,0,1,0,0,1,1
"Species","s__Methanosaeta sp. PtaU1.Bin112",1,1,0,0,1,0,0,1
"Species","s__Methanosaeta sp. UBA356",15,0,8,7,0,0.5333,0.4667,1
"Species","s__Methanosaeta sp. UBA372",1,0,1,0,0,1,0,1
"Species","s__Methanosaeta sp. UBA70",12,0,6,6,0,0.5,0.5,1
"Species","s__Methanosalsum natronophilum",3,0,0,3,0,0,1,1
"Species","s__Methanosarcina horonobensis",9,9,0,0,1,0,0,1
"Species","s__Methanosarcina lacustris",5,0,1,4,0,0.2,0.8,1
"Species","s__Methanosarcina soligelidi",59,0,13,46,0,0.2203,0.7797,1
"Species","s__Methanosarcina sp. 1.H.A.2.2",1,0,0,1,0,0,1,1
"Species","s__Methanosarcina sp. 1.H.T.1A.1",1,0,1,0,0,1,0,1
"Species","s__Methanosarcina sp. 2.H.A.1B.4",3,0,3,0,0,1,0,1
"Species","s__Methanosarcina sp. 2.H.T.1A.15",2,0,1,1,0,0.5,0.5,1
"Species","s__Methanosarcina sp. 2.H.T.1A.3",2,1,1,0,0.5,0.5,0,1
"Species","s__Methanosarcina sp. 2.H.T.1A.6",6,0,1,5,0,0.1667,0.8333,1
"Species","s__Methanosarcina sp. 2.H.T.1A.8",6,0,1,5,0,0.1667,0.8333,1
"Species","s__Methanosarcina sp. 795",50,0,47,3,0,0.94,0.06,1
"Species","s__Methanosarcina sp. A14",7,0,2,5,0,0.2857,0.7143,1
"Species","s__Methanosarcina sp. DH1",4,0,0,4,0,0,1,1
"Species","s__Methanosarcina sp. DTU009",2,0,0,2,0,0,1,1
"Species","s__Methanosarcina sp. ERenArc_MAG2",1,1,0,0,1,0,0,1
"Species","s__Methanosarcina sp. Kolksee",3,0,2,1,0,0.6667,0.3333,1
"Species","s__Methanosarcina sp. MSH10X1",1,0,1,0,0,1,0,1
"Species","s__Methanosarcina sp. UBA289",2,0,0,2,0,0,1,1
"Species","s__Methanosarcina sp. UBA293",23,0,19,4,0,0.8261,0.1739,1
"Species","s__Methanosarcina sp. UBA301",13,0,10,3,0,0.7692,0.2308,1
"Species","s__Methanosarcina sp. UBA304",8,0,4,4,0,0.5,0.5,1
"Species","s__Methanosarcina sp. UBA342",18,0,14,4,0,0.7778,0.2222,1
"Species","s__Methanosarcina sp. UBA363",4,0,0,4,0,0,1,1
"Species","s__Methanosarcina sp. UBA369",18,0,14,4,0,0.7778,0.2222,1
"Species","s__Methanosarcina sp. UBA376",5,0,3,2,0,0.6,0.4,1
"Species","s__Methanosarcina sp. UBA383",16,0,15,1,0,0.9375,0.0625,1
"Species","s__Methanosarcina sp. UBA392",39,0,31,8,0,0.7949,0.2051,1
"Species","s__Methanosarcina sp. UBA398",31,0,25,6,0,0.8065,0.1935,1
"Species","s__Methanosarcina sp. UBA402",1,0,1,0,0,1,0,1
"Species","s__Methanosarcina sp. UBA411",2,0,0,2,0,0,1,1
"Species","s__Methanosarcina sp. UBA423",11,0,10,1,0,0.9091,0.0909,1
"Species","s__Methanosarcina sp. UBA43",18,0,14,4,0,0.7778,0.2222,1
"Species","s__Methanosarcina sp. WH1",2,0,1,1,0,0.5,0.5,1
"Species","s__Methanosarcina sp. WWM596",1,0,1,0,0,1,0,1
"Species","s__Methanosarcina vacuolata",5,0,1,4,0,0.2,0.8,1
"Species","s__Methanosarcinales archaeon Methan_01",12,0,11,1,0,0.9167,0.0833,1
"Species","s__Methanosarcinales archaeon Methan_03",5,0,0,5,0,0,1,1
"Species","s__Methanosphaera cuniculi",4,3,1,0,0.75,0.25,0,1
"Species","s__Methanosphaera sp.",4,0,0,4,0,0,1,1
"Species","s__Methanosphaera sp. A6",9,1,4,4,0.1111,0.4444,0.4445,1
"Species","s__Methanosphaera sp. BMS",4,0,0,4,0,0,1,1
"Species","s__Methanosphaera sp. DEW79",4,0,0,4,0,0,1,1
"Species","s__Methanospirillum sp. J.3.6.1-F.2.7.3",6,0,5,1,0,0.8333,0.1667,1
"Species","s__Methanothermobacter defluvii",10,0,8,2,0,0.8,0.2,1
"Species","s__Methanothermobacter sp. CaT2",14,0,9,5,0,0.6429,0.3571,1
"Species","s__Methanothermobacter sp. EMTCatA1",11,0,10,1,0,0.9091,0.0909,1
"Species","s__Methanothermobacter sp. K4",3,0,3,0,0,1,0,1
"Species","s__Methanothermobacter sp. KEPCO-1",30,0,22,8,0,0.7333,0.2667,1
"Species","s__Methanothermobacter sp. MT-2",42,0,37,5,0,0.881,0.119,1
"Species","s__Methanothermobacter sp. THM-1",34,0,33,1,0,0.9706,0.0294,1
"Species","s__Methanothermobacter sp. THM-2",17,0,13,4,0,0.7647,0.2353,1
"Species","s__Methanothermobacter tenebrarum",12,0,12,0,0,1,0,1
"Species","s__Methanothermobacter thermautotrophicus",5,0,3,2,0,0.6,0.4,1
"Species","s__Methanothermococcus sp. JdFR-03",8,0,0,8,0,0,1,1
"Species","s__Methanothermococcus sp. SCGC AD-155-C09",3,0,0,3,0,0,1,1
"Species","s__Methanothermococcus sp. SCGC AD-155-M21",1,0,0,1,0,0,1,1
"Species","s__Methanothrix thermoacetophila",3,0,3,0,0,1,0,1
"Species","s__Methanotorris igneus",1,0,1,0,0,1,0,1
"Species","s__Methermicoccus shengliensis",2,1,0,1,0.5,0,0.5,1
"Species","s__Natrarchaeobius chitinivorans",2,0,0,2,0,0,1,1
"Species","s__Natrialba chahannaoensis",3,2,1,0,0.6667,0.3333,0,1
"Species","s__Natrialba hulunbeirensis",8,1,0,7,0.125,0,0.875,1
"Species","s__Natrialbaceae archaeon",1,0,1,0,0,1,0,1
"Species","s__Natribaculum longum",2,0,0,2,0,0,1,1
"Species","s__Natrinema gari",6,0,2,4,0,0.3333,0.6667,1
"Species","s__Natrinema pallidum",1,1,0,0,1,0,0,1
"Species","s__Natronobiforma cellulositropha",3,2,0,1,0.6667,0,0.3333,1
"Species","s__Natronocalculus amylovorans",3,0,1,2,0,0.3333,0.6667,1
"Species","s__Natronorubrum sulfidifaciens",1,0,1,0,0,1,0,1
"Species","s__Nitrosopumilaceae archaeon",1,0,1,0,0,1,0,1
"Species","s__Nitrosopumilus sp. LS_AOA",1,0,0,1,0,0,1,1
"Species","s__Nitrososphaera sp.",1,0,0,1,0,0,1,1
"Species","s__Pyrobaculum calidifontis",4,0,0,4,0,0,1,1
"Species","s__Pyrobaculum ferrireducens",2,0,0,2,0,0,1,1
"Species","s__Pyrobaculum sp. OCT_11",1,0,1,0,0,1,0,1
"Species","s__Pyrococcus abyssi",1,0,0,1,0,0,1,1
"Species","s__Pyrodictium delaneyi",2,2,0,0,1,0,0,1
"Species","s__Pyrodictium sp.",4,0,0,4,0,0,1,1
"Species","s__Pyrolobus sp.",2,0,0,2,0,0,1,1
"Species","s__Sala cibi",1,0,0,1,0,0,1,1
"Species","s__Salinadaptatus halalkaliphilus",1,0,0,1,0,0,1,1
"Species","s__Salinarchaeum sp. IM2453",3,0,0,3,0,0,1,1
"Species","s__Salinibaculum litoreum",1,0,0,1,0,0,1,1
"Species","s__Stygiolobus caldivivus",2,0,0,2,0,0,1,1
"Species","s__Stygiolobus sp.",4,0,2,2,0,0.5,0.5,1
"Species","s__Sulfolobaceae archaeon",3,0,2,1,0,0.6667,0.3333,1
"Species","s__Sulfolobales archaeon Acd1",3,0,1,2,0,0.3333,0.6667,1
"Species","s__Sulfolobales archaeon SCGC AB-777_K09",4,0,0,4,0,0,1,1
"Species","s__Sulfolobales archaeon SCGC AB-777_K20",1,0,1,0,0,1,0,1
"Species","s__Sulfolobus sp. A20",6,0,0,6,0,0,1,1
"Species","s__Sulfolobus sp. A20-N-F6",6,0,0,6,0,0,1,1
"Species","s__Sulfolobus sp. A20-N-F8",6,1,0,5,0.1667,0,0.8333,1
"Species","s__Sulfolobus sp. A20-N-G8",7,0,0,7,0,0,1,1
"Species","s__Sulfolobus sp. B1",7,0,0,7,0,0,1,1
"Species","s__Sulfolobus sp. B5",5,1,0,4,0.2,0,0.8,1
"Species","s__Sulfolobus sp. C3",5,0,0,5,0,0,1,1
"Species","s__Sulfolobus sp. D5",6,0,0,6,0,0,1,1
"Species","s__Sulfolobus sp. E1",7,0,0,7,0,0,1,1
"Species","s__Sulfolobus sp. E3",5,0,0,5,0,0,1,1
"Species","s__Sulfolobus sp. E5",4,0,0,4,0,0,1,1
"Species","s__Sulfolobus sp. E5-1-F",1,0,0,1,0,0,1,1
"Species","s__Sulfolobus sp. F1",7,0,0,7,0,0,1,1
"Species","s__Sulfolobus sp. F3",5,0,0,5,0,0,1,1
"Species","s__Sulfolobus sp. S-194",5,0,2,3,0,0.4,0.6,1
"Species","s__Sulfolobus sp. SCGC AB-777_G06",4,0,1,3,0,0.25,0.75,1
"Species","s__Sulfolobus sp. SCGC AB-777_L09",16,0,9,7,0,0.5625,0.4375,1
"Species","s__Thaumarchaeota archaeon JGI OTU-1",2,0,0,2,0,0,1,1
"Species","s__Thaumarchaeota archaeon JGI OTU-4",2,0,0,2,0,0,1,1
"Species","s__Thermocladium sp. ECH_B",21,0,21,0,0,1,0,1
"Species","s__Thermococcales archaeon 44_46",1,0,1,0,0,1,0,1
"Species","s__Thermococcus aggregans",2,0,1,1,0,0.5,0.5,1
"Species","s__Thermococcus alcaliphilus",2,2,0,0,1,0,0,1
"Species","s__Thermococcus barophilus",5,2,0,3,0.4,0,0.6,1
"Species","s__Thermococcus bergensis",5,0,4,1,0,0.8,0.2,1
"Species","s__Thermococcus camini",4,0,0,4,0,0,1,1
"Species","s__Thermococcus chitonophagus",3,2,0,1,0.6667,0,0.3333,1
"Species","s__Thermococcus cleftensis",5,0,0,5,0,0,1,1
"Species","s__Thermococcus eurythermalis",15,0,7,8,0,0.4667,0.5333,1
"Species","s__Thermococcus gammatolerans",2,0,0,2,0,0,1,1
"Species","s__Thermococcus henrietii",8,0,7,1,0,0.875,0.125,1
"Species","s__Thermococcus indicus",2,0,0,2,0,0,1,1
"Species","s__Thermococcus kodakarensis",2,0,0,2,0,0,1,1
"Species","s__Thermococcus nautili",6,0,0,6,0,0,1,1
"Species","s__Thermococcus onnurineus",4,0,0,4,0,0,1,1
"Species","s__Thermococcus piezophilus",1,0,0,1,0,0,1,1
"Species","s__Thermococcus siculi",1,0,0,1,0,0,1,1
"Species","s__Thermococcus sp. 101 C5",3,0,2,1,0,0.6667,0.3333,1
"Species","s__Thermococcus sp. 18S1",4,0,0,4,0,0,1,1
"Species","s__Thermococcus sp. 21S7",6,0,0,6,0,0,1,1
"Species","s__Thermococcus sp. 21S9",10,3,2,5,0.3,0.2,0.5,1
"Species","s__Thermococcus sp. 2319x1",2,0,0,2,0,0,1,1
"Species","s__Thermococcus sp. 4557",1,0,0,1,0,0,1,1
"Species","s__Thermococcus sp. 9N3",1,0,0,1,0,0,1,1
"Species","s__Thermococcus sp. CX2",2,2,0,0,1,0,0,1
"Species","s__Thermococcus sp. ES12",3,0,0,3,0,0,1,1
"Species","s__Thermococcus sp. GR4",12,3,0,9,0.25,0,0.75,1
"Species","s__Thermococcus sp. GR5",13,0,0,13,0,0,1,1
"Species","s__Thermococcus sp. GR7",8,0,0,8,0,0,1,1
"Species","s__Thermococcus sp. JCM 11816",1,0,0,1,0,0,1,1
"Species","s__Thermococcus sp. JdF3",3,0,0,3,0,0,1,1
"Species","s__Thermococcus sp. LS2",1,0,0,1,0,0,1,1
"Species","s__Thermococcus sp. M36",2,0,0,2,0,0,1,1
"Species","s__Thermococcus sp. M39",1,0,0,1,0,0,1,1
"Species","s__Thermococcus sp. MAR1",2,0,0,2,0,0,1,1
"Species","s__Thermococcus sp. MV11",3,0,0,3,0,0,1,1
"Species","s__Thermococcus sp. PK",7,0,6,1,0,0.8571,0.1429,1
"Species","s__Thermococcus stetteri",2,0,0,2,0,0,1,1
"Species","s__Thermofilum adornatum",2,1,0,1,0.5,0,0.5,1
"Species","s__Thermofilum sp. ex4484_82",1,0,0,1,0,0,1,1
"Species","s__Thermogymnomonas acidicola",4,4,0,0,1,0,0,1
"Species","s__Thermoplasma sp. Kam2015",1,1,0,0,1,0,0,1
"Species","s__Thermoplasmatales archaeon B_DKE",2,0,0,2,0,0,1,1
"Species","s__Thermoplasmatales archaeon Gpl",1,0,0,1,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA266",3,0,0,3,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA268",1,0,0,1,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA504",5,0,0,5,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA509",10,0,0,10,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA513",24,0,0,24,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA517",4,0,0,4,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA518",4,0,0,4,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA522",27,0,0,27,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA566",3,0,0,3,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA572",42,0,3,39,0,0.0714,0.9286,1
"Species","s__Thermoplasmatales archaeon UBA574",10,0,0,10,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA579",7,0,1,6,0,0.1429,0.8571,1
"Species","s__Thermoplasmatales archaeon UBA580",8,0,0,8,0,0,1,1
"Species","s__Thermoplasmatales archaeon UBA613",12,0,0,12,0,0,1,1
"Species","s__Thermoproteaceae archaeon",1,1,0,0,1,0,0,1
"Species","s__Thermoproteus sp. CP80",2,0,2,0,0,1,0,1
"Species","s__Thermoproteus sp. JCHS_4",1,0,0,1,0,0,1,1
"Species","s__Thermosphaera aggregans",1,0,0,1,0,0,1,1
"Species","s__Vulcanisaeta distributa",2,0,0,2,0,0,1,1
"Species","s__Vulcanisaeta sp.",2,0,0,2,0,0,1,1
"Species","s__Vulcanisaeta sp. EB80",1,0,1,0,0,1,0,1
"Species","s__Vulcanisaeta sp. SCGC AB-777_J10",1,0,0,1,0,0,1,1
"Species","s__archaeon ADurb.Bin336",1,0,0,1,0,0,1,1
"Species","s__archaeon BMS3Bbin15",4,0,0,4,0,0,1,1
"Species","s__archaeon SCG-AAA382B04",3,3,0,0,1,0,0,1
"Species","s__crenarchaeote SCGC AAA261-G18",2,0,0,2,0,0,1,1
"Species","s__crenarchaeote SCGC AAA261-L14",1,0,0,1,0,0,1,1
"Species","s__crenarchaeote SCGC AAA261-N23",1,0,1,0,0,1,0,1
"Species","s__euryarchaeote SCGC AAA261-G15",3,0,0,3,0,0,1,1
"Species","s__halophilic archaeon DL31",22,0,22,0,0,1,0,1
"Species","s__uncultured Candidatus Methanomethylophilus sp.",2,1,0,1,0.5,0,0.5,1
"Species","s__uncultured Halobacteria archaeon",1,1,0,0,1,0,0,1
"Species","s__uncultured Methanocorpusculaceae archaeon",8,0,7,1,0,0.875,0.125,1
"Species","s__uncultured Methanoculleus sp.",11,0,7,4,0,0.6364,0.3636,1
"Species","s__uncultured Methanomassiliicoccaceae bacterium",1,0,0,1,0,0,1,1
"Species","s__uncultured Methanosarcina sp.",18,3,14,1,0.1667,0.7778,0.0555,1
"Species","s__uncultured Thermoprotei archaeon",1,0,0,1,0,0,1,1
"Species","s__uncultured archaeon",5,1,0,4,0.2,0,0.8,1
"Species","s__uncultured euryarchaeote",1,0,0,1,0,0,1,1
